CustomerID,Week,Day,Company,Address,Location,Phone,Notes,Email,Delivery Fee,,,,,Active
82ada7c7,week 4,Wednessday,Strategic Industrial Cleaning,722026 Range Road 53, Clairmont, AB T8X 5G8,Select standard fee,,Two locations 1 slip & trailer ,ap@sicsgp.com,,,,true
90953453,week 4,Wednessday,Mustang Rentals,5202 Emerson Trail (Hwy 674), Sexsmith, AB T0H 3C0,Select standard fee,,Trailer Office,accountspayable@mustangrentals.com,,,,true
023cb174,week 4,Wednessday,Clean Harbor,5301 Emerson Trail (Hwy 674), Sexsmith, AB T0H 3C0,Select standard fee,,With Whitney or Pam,peaceap@cleanharbors.com,,,,true
b33427f9,week 4,Wednessday,PVT Energy (New Bldg),721071 Range Road 53, County of Grande Prairie, AB T8X 5G8,Select standard fee,,PLEASE GET SOMEONE TO SIGN, Shop,AP.Energy@pvtgroup.com,,,true
43cd53ab,week 4,Wednessday,Contain Enviro Services,13535 97 Street, Grande Prairie, AB T8V 4H4,Select standard fee,,3 locations take to them all,accountspayable@contain.ca,,,,true
7a08b7bc,week 4,Wednessday,RB Curry,732010 Range Road 62,Sexsmith, AB T0H 3C0,Select standard fee,,Bill to RB Curry,ap@curryautotransport.com,,,,true
786c3aba,week 4,Wednessday,Curry Towing,724080 Range Road 53, County of Grande Prairie, AB T8X 5G8,Select standard fee,,Bill to RB Curry,ap@curryautotransport.com,,,,true
bff32517,week 4,Wednessday,Scrap Metal,724080 Range Road 53 (Same yard as Curry), AB T8X 5G8,Select standard fee,,,ap@curryautotransport.com,,,,,true
d0d696f8,week 4,Wednessday,Nordic Energy Services,Unit 854, 721071 Range Road 53, County of Grande Prairie, AB T8X 5G8,Select standard fee,,Door code 5231,ap@nordicenergycanada.com,,,true
87501c5d,week 4,Wednessday,Essential Coil,2A 63014 TWP RD 724, Clairmont, AB T8X 0V1,Select standard fee,780-402-1042,PO#20047662,AP@ETS.ca,,,,true
d9756d6a,week 4,Wednessday,KMA Construction,Unit 100, 9502 154 Avenue, Grande Prairie, AB T8X 0M5,Select standard fee,,,ap@kmaconstruction.ca,,,true
b66f12bd,week 4,Wednessday,Barr None,Unit 13, 63014 Township Road 724, County of GP, AB T8X 4A2,Select standard fee,,,office@barrnonemechanical.com,,,true
fe2c371e,week 4,Wednessday,Keyera GP,9516 146 Avenue, Grande Prairie, AB T8V 8P1,Select standard fee,,,accounts_payable@keyera.com,,PO#20047662,,true
939ccc18,week 4,Wednessday,Compass Access,40016 Highway 43, County of GP, AB T8X 5A8,Select standard fee,,,ap@compassltd.ca,,,,true
06d24620,week 4,Wednessday,Paloma Pressure Controls,15801 91 Street, Grande Prairie, AB T8X 0M7,Select standard fee,,,apcanada@palomapc.com,,,,true
ee0617a5,week 4,Wednessday,Tier 1 Energy Solutions,8104A 105 Street, Clairmont, AB T8X 5B2,,,,,,,,true
9febe2f4,week 4,Wednessday,DFI Piling,14005 97 Street, Grande Prairie, AB T8V 7B1,Select standard fee,,,ap@dfipiling.com,,,,true
2071fadc,week 4,Wednessday,Full Force Ventures,14915 89 Street, Grande Prairie, AB T8X 0M2,Select standard fee,,Keyera Pipeline,ap@fullforceventures.com,,,,true
4b5854e1,week 4,Wednessday,Benedict Pipelines,9202 154 Avenue, Grande Prairie, AB T8X 0L2,,780-512-6380,,,,,,true
0f7ee167,,,Black Diamond Lodging Inc.,8901-102 Street Clairmont AB,T0H 0W0,Select standard fee,,,energy@blackdiamondgroup.com,RUSH ORDER - 3/31/2026 | Email: energy@blackdiamondgroup.com | PO: PO# 7306005,PO# 7306005,,,true
a54194d4,,,London Drugs,10820 104B Ave, Grande Prairie, AB T8V 7L6,Select standard fee,,,,RUSH ORDER - 3/31/2026 | PO: PO 258551,PO 258551,,true
8c2d3237,,,Q2 Artificial Lift,15702-91 Street Grande Prairie,AB T8V 2N8,Select standard fee,,,ngordon@q2als.com,RUSH ORDER - 3/31/2026 | Email: ngordon@q2als.com | PO: PO#32202747,PO#32202747,,,true
fbcbf7bf,,,GP Kubota,8108-89 Street Sexsmith,AB T0H 3C0,Select standard fee,,,dustin@grandeprairiekubota.com,RUSH ORDER - 3/31/2026 | Email: dustin@grandeprairiekubota.com,33462,,,true
